dataset,IR,fold,rep,best_k,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_1020_mfeat-karhunen,0.1111111111111111,2,0,3,0.9195402298850575,0.851063829787234,1.0,0.9902777777777778,0.9902300518341965,0.9962500000000001
dataset_1020_mfeat-karhunen,0.1111111111111111,3,0,3,0.9411764705882353,0.8888888888888888,1.0,0.9930555555555556,0.9930312739844155,0.9984375
dataset_1020_mfeat-karhunen,0.1111111111111111,4,0,1,0.963855421686747,0.9302325581395349,1.0,0.9958333333333333,0.9958246164193104,0.9958333333333333
dataset_1021_page-blocks,0.11398330958681051,0,0,3,0.8454545454545455,0.8611111111111112,0.8303571428571429,0.9075488664438309,0.9042601300473214,0.9392620985321901
dataset_1021_page-blocks,0.11398330958681051,1,0,5,0.8450704225352113,0.8910891089108911,0.8035714285714286,0.8961905972969045,0.8913917636303268,0.9618469335852347
dataset_1021_page-blocks,0.11398330958681051,2,0,1,0.8468468468468469,0.8545454545454545,0.8392857142857143,0.9115045051591338,0.9086390422880687,0.911504505159134
dataset_1021_page-blocks,0.11398330958681051,3,0,1,0.7962962962962963,0.8269230769230769,0.7678571428571429,0.8747636019784697,0.8682064088363357,0.8747636019784696
dataset_1021_page-blocks,0.11398330958681051,4,0,1,0.8508771929824561,0.8362068965517241,0.8660714285714286,0.9233615798661623,0.9215825767328514,0.9233615798661623
dataset_1022_mfeat-pixel,0.1111111111111111,0,0,11,0.9743589743589743,1.0,0.95,0.975,0.9746794344808963,0.9868402777777778
dataset_1022_mfeat-pixel,0.1111111111111111,1,0,5,0.975,0.975,0.975,0.9861111111111112,0.9860485113150704,0.9993055555555556
dataset_1022_mfeat-pixel,0.1111111111111111,2,0,9,0.975,0.975,0.975,0.9861111111111112,0.9860485113150704,0.9997916666666666
dataset_1022_mfeat-pixel,0.1111111111111111,3,0,7,0.9876543209876543,0.975609756097561,1.0,0.9986111111111111,0.9986101452630162,0.9998611111111111
dataset_1022_mfeat-pixel,0.1111111111111111,4,0,5,0.9876543209876543,0.975609756097561,1.0,0.9986111111111111,0.9986101452630162,1.0
dataset_1039_hiva_agnostic,0.03651960784313726,0,0,1,0.2222222222222222,0.25,0.2,0.5889705882352941,0.44225358709016444,0.588970588235294
dataset_1039_hiva_agnostic,0.03651960784313726,1,0,1,0.5,0.5,0.5,0.7408088235294117,0.7005774928795613,0.7408088235294118
dataset_1039_hiva_agnostic,0.03651960784313726,2,0,1,0.25925925925925924,0.2916666666666667,0.23333333333333334,0.60625,0.4779876799899995,0.6062500000000001
dataset_1039_hiva_agnostic,0.03651960784313726,3,0,1,0.37037037037037035,0.4166666666666667,0.3333333333333333,0.6580882352941176,0.5723760818596173,0.6580882352941175
dataset_1039_hiva_agnostic,0.03651960784313726,4,0,1,0.2641509433962264,0.2916666666666667,0.2413793103448276,0.6102729885057471,0.4861590014724027,0.6102729885057471
dataset_1045_kc1-top5,0.058394160583941604,0,0,1,0.0,0.0,0.0,0.5,0.0,0.5
dataset_1045_kc1-top5,0.058394160583941604,1,0,3,0.0,0.0,0.0,0.5,0.0,0.75
dataset_1045_kc1-top5,0.058394160583941604,2,0,1,0.0,0.0,0.0,0.5,0.0,0.5
dataset_1045_kc1-top5,0.058394160583941604,3,0,1,0.0,0.0,0.0,0.4642857142857143,0.0,0.4642857142857143
dataset_1045_kc1-top5,0.058394160583941604,4,0,7,0.0,0.0,0.0,0.5,0.0,1.0
dataset_1049_pc4,0.1390625,0,0,1,0.5454545454545454,0.5121951219512195,0.5833333333333334,0.7526041666666667,0.7333214961165851,0.7526041666666667
dataset_1049_pc4,0.1390625,1,0,1,0.4927536231884058,0.5151515151515151,0.4722222222222222,0.7048611111111112,0.6653633092779713,0.7048611111111112
dataset_1049_pc4,0.1390625,2,0,1,0.3939393939393939,0.43333333333333335,0.3611111111111111,0.6473524305555556,0.5806298962238242,0.6473524305555556
dataset_1049_pc4,0.1390625,3,0,1,0.5373134328358209,0.5625,0.5142857142857142,0.7297991071428571,0.6972522601510261,0.7297991071428571
dataset_1049_pc4,0.1390625,4,0,1,0.5263157894736842,0.4878048780487805,0.5714285714285714,0.7446986607142857,0.7242607068097588,0.7446986607142857
dataset_1050_pc3,0.11404133998574484,0,0,1,0.3728813559322034,0.4074074074074074,0.34375,0.6434052491103203,0.5693654768804878,0.6434052491103203
dataset_1050_pc3,0.11404133998574484,1,0,1,0.32142857142857145,0.375,0.28125,0.6139346085409252,0.5159812543147962,0.6139346085409252
dataset_1050_pc3,0.11404133998574484,2,0,1,0.3880597014925373,0.37142857142857144,0.40625,0.6639790925266904,0.6119182544898755,0.6639790925266904
dataset_1050_pc3,0.11404133998574484,3,0,1,0.3870967741935484,0.4,0.375,0.6553571428571429,0.5923620996846921,0.6553571428571429
