dataset,n_min,ir_ratio,n_votes,gmean
dataset_1064_ar6,15,0.1744186046511628,15,0.6901579900379006
dataset_1065_kc3,43,0.10361445783132531,1,0.7082977543697021
dataset_1065_kc3,43,0.10361445783132531,2,0.7465043934220196
dataset_1065_kc3,43,0.10361445783132531,3,0.746838255568344
dataset_1065_kc3,43,0.10361445783132531,5,0.7661203483209337
dataset_1065_kc3,43,0.10361445783132531,7,0.7613531428507043
dataset_1065_kc3,43,0.10361445783132531,10,0.7589642752191894
dataset_1065_kc3,43,0.10361445783132531,15,0.7589642752191894
dataset_311_oil_spill,41,0.04575892857142857,1,0.7916065346689545
dataset_311_oil_spill,41,0.04575892857142857,2,0.8025303702420586
dataset_311_oil_spill,41,0.04575892857142857,3,0.7940096906341013
dataset_311_oil_spill,41,0.04575892857142857,5,0.7728380533301115
dataset_311_oil_spill,41,0.04575892857142857,7,0.760573319578336
dataset_311_oil_spill,41,0.04575892857142857,10,0.7853275129084641
dataset_311_oil_spill,41,0.04575892857142857,15,0.7853275129084641
dataset_312_scene,431,0.21811740890688258,1,0.7795876872598935
dataset_312_scene,431,0.21811740890688258,2,0.8061794508064605
dataset_312_scene,431,0.21811740890688258,3,0.7708609411431503
dataset_312_scene,431,0.21811740890688258,5,0.7596694407717453
dataset_312_scene,431,0.21811740890688258,7,0.7521160423447272
dataset_312_scene,431,0.21811740890688258,10,0.7429453575399174
dataset_312_scene,431,0.21811740890688258,15,0.7429453575399174
dataset_316_yeast_ml8,34,0.014267729752412925,1,0.6545368037596507
dataset_316_yeast_ml8,34,0.014267729752412925,2,0.7034325466168585
dataset_316_yeast_ml8,34,0.014267729752412925,3,0.6828168487732839
dataset_316_yeast_ml8,34,0.014267729752412925,5,0.67443101109793
dataset_316_yeast_ml8,34,0.014267729752412925,7,0.6669207061172635
dataset_316_yeast_ml8,34,0.014267729752412925,10,0.6755064672456387
dataset_316_yeast_ml8,34,0.014267729752412925,15,0.6755064672456387
dataset_38_sick,231,0.06523580909347641,1,0.8738958492415009
dataset_38_sick,231,0.06523580909347641,2,0.8684765699053265
dataset_38_sick,231,0.06523580909347641,3,0.8568298760601571
dataset_38_sick,231,0.06523580909347641,5,0.8685352378930826
dataset_38_sick,231,0.06523580909347641,7,0.8655134220248344
dataset_38_sick,231,0.06523580909347641,10,0.8559633949881416
dataset_38_sick,231,0.06523580909347641,15,0.8559633949881416
dataset_450_analcatdata_lawsuit,19,0.07755102040816327,1,0.9517710046347204
dataset_450_analcatdata_lawsuit,19,0.07755102040816327,2,0.8999418036618796
dataset_450_analcatdata_lawsuit,19,0.07755102040816327,3,0.9298412142307193
dataset_450_analcatdata_lawsuit,19,0.07755102040816327,5,0.914544324980333
dataset_450_analcatdata_lawsuit,19,0.07755102040816327,7,0.8985444388461097
dataset_450_analcatdata_lawsuit,19,0.07755102040816327,10,0.8985161987077592
dataset_450_analcatdata_lawsuit,19,0.07755102040816327,15,0.8985161987077592
dataset_463_backache,25,0.16129032258064516,1,0.6461491144782002
dataset_463_backache,25,0.16129032258064516,2,0.6085992605329391
dataset_463_backache,25,0.16129032258064516,3,0.6578947870916068
dataset_463_backache,25,0.16129032258064516,5,0.664255804329675
dataset_463_backache,25,0.16129032258064516,7,0.695552667125031
dataset_463_backache,25,0.16129032258064516,10,0.6311518556249864
dataset_463_backache,25,0.16129032258064516,15,0.6311518556249864
dataset_757_meta,54,0.11392405063291139,1,0.6581373839384068
dataset_757_meta,54,0.11392405063291139,2,0.6891847927437315
dataset_757_meta,54,0.11392405063291139,3,0.7063123165172991
dataset_757_meta,54,0.11392405063291139,5,0.7703286140665327
dataset_757_meta,54,0.11392405063291139,7,0.7565793663202487
dataset_757_meta,54,0.11392405063291139,10,0.755845369006064
dataset_757_meta,54,0.11392405063291139,15,0.755845369006064
dataset_764_analcatdata_apnea3,55,0.13924050632911392,1,0.8413210363837538
dataset_764_analcatdata_apnea3,55,0.13924050632911392,2,0.8787949692321441
dataset_764_analcatdata_apnea3,55,0.13924050632911392,3,0.8618637024630745
dataset_764_analcatdata_apnea3,55,0.13924050632911392,5,0.8229936492789436
dataset_764_analcatdata_apnea3,55,0.13924050632911392,7,0.7922876787464965
dataset_764_analcatdata_apnea3,55,0.13924050632911392,10,0.7765163614336001
dataset_764_analcatdata_apnea3,55,0.13924050632911392,15,0.7765163614336001
dataset_765_analcatdata_apnea2,64,0.15571776155717762,1,0.8932985578750812
dataset_765_analcatdata_apnea2,64,0.15571776155717762,2,0.9235319177589799
dataset_765_analcatdata_apnea2,64,0.15571776155717762,3,0.9197589355752417
dataset_765_analcatdata_apnea2,64,0.15571776155717762,5,0.8692440481059966
dataset_765_analcatdata_apnea2,64,0.15571776155717762,7,0.8473634160164794
dataset_765_analcatdata_apnea2,64,0.15571776155717762,10,0.8230476283351988
dataset_765_analcatdata_apnea2,64,0.15571776155717762,15,0.8230476283351988
dataset_767_analcatdata_apnea1,61,0.1473429951690821,1,0.8614448011619598
dataset_767_analcatdata_apnea1,61,0.1473429951690821,2,0.8894630237729038
dataset_767_analcatdata_apnea1,61,0.1473429951690821,3,0.896446856529086
dataset_767_analcatdata_apnea1,61,0.1473429951690821,5,0.8358778623426721
dataset_767_analcatdata_apnea1,61,0.1473429951690821,7,0.8133615346436445
dataset_767_analcatdata_apnea1,61,0.1473429951690821,10,0.7961749241830736
dataset_767_analcatdata_apnea1,61,0.1473429951690821,15,0.7961749241830736
dataset_867_visualizing_livestock,25,0.23809523809523808,1,0.4937886748775625
dataset_867_visualizing_livestock,25,0.23809523809523808,2,0.5511154539874752
dataset_867_visualizing_livestock,25,0.23809523809523808,3,0.7532505015123195
dataset_867_visualizing_livestock,25,0.23809523809523808,5,0.7768658015534999
dataset_867_visualizing_livestock,25,0.23809523809523808,7,0.8296487441091175
dataset_867_visualizing_livestock,25,0.23809523809523808,10,0.8164641682349396
dataset_867_visualizing_livestock,25,0.23809523809523808,15,0.8164641682349396
dataset_875_analcatdata_chlamydia,19,0.2345679012345679,1,0.818714189600823
dataset_875_analcatdata_chlamydia,19,0.2345679012345679,2,0.8425603931473248
dataset_875_analcatdata_chlamydia,19,0.2345679012345679,3,0.813415044781704
dataset_875_analcatdata_chlamydia,19,0.2345679012345679,5,0.7928258445431998
dataset_875_analcatdata_chlamydia,19,0.2345679012345679,7,0.7617491410386378
dataset_875_analcatdata_chlamydia,19,0.2345679012345679,10,0.8231034083163993
dataset_875_analcatdata_chlamydia,19,0.2345679012345679,15,0.8231034083163993
dataset_940_water-treatment,80,0.1789709172259508,1,0.6048860982205577
dataset_940_water-treatment,80,0.1789709172259508,2,0.6441584946162711
dataset_940_water-treatment,80,0.1789709172259508,3,0.6170817671045773
dataset_940_water-treatment,80,0.1789709172259508,5,0.6296026097323442
