dataset,IR,fold,rep,f1,precision,recall,balanced_accuracy,geometric_mean,roc_auc
dataset_1014_analcatdata_dmft,0.24143302180685358,2,0,0.0,0.0,0.0,0.4921875,0.0,0.49067540322580644
dataset_1014_analcatdata_dmft,0.24143302180685358,3,0,0.0,0.0,0.0,0.49609375,0.0,0.4855090725806452
dataset_1014_analcatdata_dmft,0.24143302180685358,4,0,0.21739130434782608,0.3333333333333333,0.16129032258064516,0.5415826612903226,0.38560279580033163,0.545992943548387
dataset_1016_vowel,0.1,0,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1016_vowel,0.1,1,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1016_vowel,0.1,2,0,0.8571428571428571,0.75,1.0,0.9833333333333334,0.983192080250175,1.0
dataset_1016_vowel,0.1,3,0,0.9714285714285714,1.0,0.9444444444444444,0.9722222222222222,0.97182531580755,1.0
dataset_1016_vowel,0.1,4,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1018_ipums_la_99-small,0.06863218946350894,0,0,0.1323529411764706,0.391304347826087,0.07964601769911504,0.5355959557094608,0.2810207853534905,0.6517250224445299
dataset_1018_ipums_la_99-small,0.06863218946350894,1,0,0.1276595744680851,0.3333333333333333,0.07894736842105263,0.5340356177452695,0.27944360137170976,0.6399878094026606
dataset_1018_ipums_la_99-small,0.06863218946350894,2,0,0.10606060606060606,0.3888888888888889,0.06140350877192982,0.5273784915460857,0.24697244537407392,0.6633487040865003
dataset_1018_ipums_la_99-small,0.06863218946350894,3,0,0.13793103448275862,0.3225806451612903,0.08771929824561403,0.5375152382466741,0.294289387688278,0.6242248370170139
dataset_1018_ipums_la_99-small,0.06863218946350894,4,0,0.11347517730496454,0.2857142857142857,0.07079646017699115,0.529355934015988,0.264463445168593,0.6570622677325347
dataset_1020_mfeat-karhunen,0.1111111111111111,0,0,0.9024390243902439,0.8809523809523809,0.925,0.9555555555555556,0.9550668970170507,0.9853819444444445
dataset_1020_mfeat-karhunen,0.1111111111111111,1,0,0.9156626506024096,0.8837209302325582,0.95,0.9680555555555556,0.9678871605489741,0.9984375
dataset_1020_mfeat-karhunen,0.1111111111111111,2,0,0.896551724137931,0.8297872340425532,0.975,0.9763888888888889,0.976387901058454,0.9987847222222223
dataset_1020_mfeat-karhunen,0.1111111111111111,3,0,0.9176470588235294,0.8666666666666667,0.975,0.9791666666666666,0.9791578013783069,0.9990277777777777
dataset_1020_mfeat-karhunen,0.1111111111111111,4,0,0.975609756097561,0.9523809523809523,1.0,0.9972222222222222,0.9972183534434395,1.0
dataset_1021_page-blocks,0.11398330958681051,0,0,0.8294930875576036,0.8571428571428571,0.8035714285714286,0.8941560093009737,0.8895557333315859,0.9521690161313763
dataset_1021_page-blocks,0.11398330958681051,1,0,0.8450704225352113,0.8910891089108911,0.8035714285714286,0.8961905972969045,0.8913917636303268,0.9618469335852347
dataset_1021_page-blocks,0.11398330958681051,2,0,0.8195121951219512,0.9032258064516129,0.75,0.8704221770091556,0.8620517765852197,0.9622556677808458
dataset_1021_page-blocks,0.11398330958681051,3,0,0.7884615384615384,0.8541666666666666,0.7321428571428571,0.8589431189991271,0.8495322096713755,0.9313854742508002
dataset_1021_page-blocks,0.11398330958681051,4,0,0.8450704225352113,0.8910891089108911,0.8035714285714286,0.8961848996217632,0.8913866272780171,0.9752736761710796
dataset_1022_mfeat-pixel,0.1111111111111111,0,0,0.9743589743589743,1.0,0.95,0.975,0.9746794344808963,0.9868402777777778
dataset_1022_mfeat-pixel,0.1111111111111111,1,0,0.975,0.975,0.975,0.9861111111111112,0.9860485113150704,0.9993055555555556
dataset_1022_mfeat-pixel,0.1111111111111111,2,0,1.0,1.0,1.0,1.0,1.0,1.0
dataset_1022_mfeat-pixel,0.1111111111111111,3,0,0.975,0.975,0.975,0.9861111111111112,0.9860485113150704,0.999826388888889
